name,condition,genotype
b3_g18_ctr_5.jpg,0,17
b4_g29_comp_3.jpg,1,28
b3_g13_comp_3.jpg,1,12
b4_g27_comp_5.jpg,1,26
b4_g18_comp_1.jpg,1,17
b1_g13_ctr_2.jpg,0,12
b1_g8_ctr_4.jpg,0,7
b1_g25_ctr_3.jpg,0,24
b3_g4_comp_1.jpg,1,3
b3_g20_ctr_5.jpg,0,19
b2_g3_comp_1.jpg,1,2
b3_g13_ctr_1.jpg,0,12
b3_g29_comp_1.jpg,1,28
b2_g24_ctr_1.jpg,0,23
b3_g18_ctr_3.jpg,0,17
b1_g6_ctr_1.jpg,0,5
b4_g23_comp_2.jpg,1,22
b4_g10_comp_4.jpg,1,9
b2_g20_comp_1.jpg,1,19
b4_g12_ctr_1.jpg,0,11
b3_g14_ctr_4.jpg,0,13
b2_g3_comp_3.jpg,1,2
b1_g11_comp_5.jpg,1,10
b3_g7_comp_1.jpg,1,6
b4_g6_comp_3.jpg,1,5
b2_g29_ctr_3.jpg,0,28
b3_g29_comp_2.jpg,1,28
b1_g8_comp_5.jpg,1,7
b1_g19_ctr_4.jpg,0,18
b1_g19_comp_2.jpg,1,18
b1_g23_ctr_3.jpg,0,22
b3_g13_comp_2.jpg,1,12
b1_g23_ctr_5.jpg,0,22
b3_g12_comp_2.jpg,1,11
b4_g19_comp_1.jpg,1,18
b1_g17_ctr_1.jpg,0,16
b2_g2_comp_5.jpg,1,1
b2_g1_ctr_3.jpg,0,0
b2_g8_comp_5.jpg,1,7
b4_g8_ctr_1.jpg,0,7
b2_g5_comp_1.jpg,1,4
b3_g21_comp_4.jpg,1,20
b2_g1_comp_4.jpg,1,0
b1_g24_ctr_2.jpg,0,23
b2_g21_ctr_5.jpg,0,20
b4_g8_ctr_3.jpg,0,7
b4_g7_ctr_3.jpg,0,6
b2_g7_ctr_3.jpg,0,6
b4_g28_ctr_1.jpg,0,27
b2_g14_ctr_4.jpg,0,13
b2_g3_ctr_4.jpg,0,2
b2_g18_ctr_3.jpg,0,17
b4_g30_ctr_1.jpg,0,29
b3_g8_ctr_3.jpg,0,7
b3_g11_ctr_2.jpg,0,10
b4_g24_ctr_4.jpg,0,23
b4_g3_ctr_4.jpg,0,2
b3_g22_ctr_1.jpg,0,21
b3_g20_ctr_1.jpg,0,19
b3_g21_ctr_1.jpg,0,20
b1_g8_ctr_3.jpg,0,7
b2_g23_ctr_4.jpg,0,22
